mpu_address,yaw,pitch,roll,x_accel,y_accel,z_accel
104,82.08,22.23,86.74,0.07,0.95,0.14
104,82.56,27.84,86.05,0.09,0.96,0.13
104,82.37,21.11,87.04,0.07,0.95,0.14
104,85.44,43.52,85.67,0.04,0.9,0.13
104,83.55,18.69,87.81,0.02,0.99,0.17
105,81.56,5.94,89.12,0.04,1.02,0.19
105,79.98,53.94,76.36,0.24,0.98,0.23
105,82.06,68.01,70.95,0.34,0.94,0.16
105,82.79,74.9,64.88,0.44,0.89,0.13
105,81.74,76.81,58.22,0.56,0.9,0.12
105,81.25,80.04,48.78,0.84,0.96,0.18
105,74.05,77.07,38.78,0.92,0.73,0.22
105,61.59,67.9,36.9,0.7,0.51,0.32
105,44.8,72.75,17.13,0.63,0.18,0.12
105,43.85,68.31,20.92,0.71,0.3,0.32
105,60.75,62.19,43.29,0.72,0.76,0.42
104,69.99,358.9,90.4,0.01,0.91,0.34
105,72.14,70.56,47.61,0.78,0.86,0.25
105,73.5,64.3,58.39,0.55,0.88,0.27
105,77.97,69.32,60.56,0.53,0.9,0.23
104,77.18,359.08,90.21,0.01,0.97,0.23
105,75.93,56.96,68.92,0.36,0.96,0.27
104,78.06,11.73,87.49,0.07,1.05,0.24
105,78.9,38.38,81.17,0.14,1.05,0.29
104,77.18,18.63,85.61,0.08,0.9,0.21
105,77.89,17.12,86.22,0.1,1.09,0.25
104,69.57,18.73,82.8,0.12,0.84,0.32
105,74.37,22.03,83.54,0.13,0.87,0.27
104,76.61,20.22,84.99,0.1,0.93,0.24
105,73.89,32.59,79.54,0.19,0.9,0.27
104,79.37,5.65,88.94,0.05,0.93,0.14
105,80.53,38.98,82.31,0.13,0.89,0.17
104,74.0,19.38,84.24,0.11,0.88,0.27
104,74.93,18.54,84.84,0.09,0.92,0.24
104,68.01,12.87,84.73,0.1,0.89,0.36
104,73.39,3.92,88.83,0.03,0.98,0.31
104,74.7,1.92,89.48,0.03,0.97,0.28
104,71.34,10.54,86.4,0.07,0.96,0.33
104,73.32,0.25,89.93,0.02,0.87,0.28
104,71.76,1.01,89.67,0.02,0.89,0.29
104,64.57,359.12,90.42,0.01,0.8,0.34
105,83.4,41.78,84.1,0.12,1.0,0.12
105,82.98,59.15,78.35,0.22,1.03,0.17
105,80.39,63.57,71.19,0.36,1.01,0.21
105,79.96,72.85,60.15,0.54,0.91,0.18
105,72.89,67.56,53.3,0.62,0.83,0.29
105,72.45,65.5,55.24,0.66,0.92,0.29
105,55.81,60.1,40.25,0.79,0.58,0.41
105,4.77,62.82,2.45,0.76,0.08,0.38
105,45.66,62.14,28.41,0.73,0.39,0.41
105,62.01,59.72,47.68,0.66,0.73,0.39
105,74.04,65.99,57.3,0.61,0.89,0.29
105,79.59,70.74,62.26,0.53,0.99,0.2
105,70.92,38.93,74.39,0.3,1.0,0.3
104,71.2,358.05,90.66,0.01,0.98,0.34
105,72.31,36.55,76.7,0.24,0.96,0.32
104,74.64,11.42,86.82,0.06,0.93,0.26
105,77.6,39.23,79.82,0.21,1.06,0.25
104,71.19,11.88,85.9,0.08,0.85,0.3
105,72.72,32.28,78.88,0.19,0.88,0.3
104,70.07,12.91,85.25,0.09,0.92,0.35
105,66.74,38.8,70.93,0.27,0.94,0.31
104,72.47,18.69,83.9,0.12,0.95,0.31
105,86.88,79.46,73.67,0.3,0.97,0.08
104,76.18,31.34,81.48,0.15,0.82,0.2
104,71.18,29.63,79.03,0.19,0.88,0.31
104,68.35,22.84,80.51,0.17,0.9,0.37
