mpu_address,yaw,pitch,roll,x_accel,y_accel,z_accel
105,7.24,73.23,2.19,1.24,0.07,0.37
105,42.52,74.74,14.04,1.02,0.26,0.31
105,57.96,67.04,34.09,0.68,0.52,0.34
105,67.56,63.24,50.68,0.59,0.72,0.32
104,65.45,10.89,84.98,0.08,0.72,0.33
105,74.0,63.81,59.76,0.47,0.83,0.24
104,49.99,11.35,80.44,0.1,0.58,0.53
105,76.64,60.54,67.19,0.38,0.86,0.21
104,57.04,20.08,76.66,0.16,0.61,0.46
105,77.65,57.38,71.11,0.33,0.9,0.22
104,64.16,22.22,78.81,0.18,0.83,0.36
105,73.88,36.24,78.04,0.17,0.83,0.28
104,57.25,24.7,73.52,0.21,0.6,0.41
105,77.03,33.05,81.48,0.08,0.78,0.26
104,63.53,23.52,77.77,0.16,0.7,0.33
105,74.95,7.81,87.89,0.05,0.78,0.22
104,67.45,24.08,79.49,0.17,0.82,0.35
105,76.84,10.53,87.51,0.05,0.79,0.21
104,66.28,24.82,78.51,0.2,0.93,0.42
105,76.01,4.4,88.9,0.04,0.87,0.22
104,65.91,20.44,80.54,0.16,0.88,0.41
105,75.95,358.58,90.36,0.01,0.9,0.24
104,69.11,15.44,83.98,0.12,0.91,0.33
105,74.53,5.9,88.36,0.05,0.88,0.27
104,63.47,16.54,81.57,0.14,0.85,0.44
105,72.21,2.35,89.25,0.03,0.74,0.25
104,53.27,9.22,83.09,0.09,0.66,0.45
105,70.02,36.65,74.86,0.22,0.69,0.29
104,51.44,7.07,84.35,0.08,0.65,0.52
105,60.03,36.57,66.84,0.29,0.61,0.36
105,65.39,56.45,55.36,0.59,0.82,0.39
104,54.82,358.31,91.19,0.02,0.72,0.5
105,70.46,60.64,57.76,0.7,1.08,0.4
105,70.52,59.21,59.31,0.63,1.05,0.37
105,69.04,59.18,57.31,0.62,0.92,0.37
105,60.13,52.14,53.54,0.62,0.84,0.49
105,46.58,58.7,32.72,0.73,0.47,0.46
105,5.71,62.26,3.01,0.57,0.06,0.33
105,16.87,62.71,8.89,0.75,0.15,0.38
105,20.23,68.43,8.29,0.97,0.15,0.39
105,28.75,67.22,12.97,1.13,0.27,0.46
105,28.48,68.88,11.83,1.03,0.24,0.4
105,24.88,68.15,10.53,0.78,0.19,0.29
105,54.54,68.46,28.99,0.75,0.35,0.34
105,56.88,47.95,54.13,0.66,0.9,0.6
105,53.85,42.58,56.13,0.46,0.66,0.45
105,56.09,35.04,64.76,0.33,0.68,0.48
104,57.32,1.37,89.12,0.03,0.85,0.55
105,58.49,34.58,67.09,0.33,0.7,0.43
104,54.36,5.84,85.8,0.08,0.76,0.55
105,68.4,59.95,55.61,0.6,1.05,0.31
